====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   r   s   m   m   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   r   e   t   a   a   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   a   a   a   s   s   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   w   d   r   k   k   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   y   t   _   _   s   r   e   _   _   _   _   _   _   _   _     
              |         7   7   7   7   7   7   7   7   e           s   s   t   e       7   7   7   7   7   7   7   7     
              |         _   _   _   _   _   _   _   _   r           e   e   a   a       _   _   _   _   _   _   _   _     
              |         0   0   0   0   0   0   0   0   a           l   l   r   d       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   s           e   e   t   y       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   e           c   c               7   6   5   4   3   2   1   0     
              |                                                     t   t                                                 
              |                                                     _   _                                                 
              |                                                     1   1                                                 
              |                                                     _   _                                                 
              |                                                     0   0                                                 
              |                                                     _   _                                                 
              |                                                     1   0                                                 
====================================================================================================================================
       2950.0 | 0   0   1   1   1   0   1   1   1   1   0   0   0   x   1   0   0   0   0   0   0   0   1   1   1   1   1
       3000.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   0   0   0   0   0   0   1   1   1   1   1
       3000.1 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   0   0   0   0   0   0   1   1   1   1   x
       3050.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   0   0   0   0   0   0   1   1   1   1   x
       3100.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   0   0   0   0   0   0   1   1   1   1   x
       3101.3 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   1   0   0   0   0   0   0   0   1   1   1   1   x
       3102.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   0   0   0   0   0   0   1   1   1   1   x
       3103.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   1   1   1   1   x
       3150.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   1   1   1   1   x
       3200.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   1   1   1   1   x
       3250.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   0   0   1   0   0   0   0   0   0   1   1   1   1   x
