================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   i   i   o   o   o   o   o   o   r 
 in 1e-09 sec | l   s   n   n   n   n   n   n   u   u   u   u   u   u   a 
              | k   t   v   v   v   v   v   v   t   t   t   t   t   t   n 
              |         _   _   _   _   _   _   p   p   p   p   p   p   d 
              |         i   i   i   i   i   i   u   u   u   u   u   u   o 
              |         n   n   n   n   n   n   t   t   t   t   t   t   m 
              |         p   p   p   p   p   p   _   _   _   _   _   _   _ 
              |         u   u   u   u   u   u   5   5   5   5   5   5   s 
              |         t   t   t   t   t   t   _   _   _   _   _   _   e 
              |         s   s   s   s   s   s   0   0   0   0   0   0   e 
              |         _   _   _   _   _   _   _   _   _   _   _   _   d 
              |         5   5   5   5   5   5   5   4   3   2   1   0     
              |         _   _   _   _   _   _                             
              |         0   0   0   0   0   0                             
              |         _   _   _   _   _   _                             
              |         5   4   3   2   1   0                             
================================================================================
       1800.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1820.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1840.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1860.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1880.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1900.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1920.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1940.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1960.0 | 1   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       1980.0 | 0   1   1   0   0   0   0   0   0   0   0   0   0   0   1
       2000.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2020.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2040.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2060.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2080.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2100.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2120.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2140.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2160.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2180.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2200.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2220.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2240.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2260.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2280.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2300.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2320.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2340.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2360.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2380.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2400.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2420.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2440.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2460.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2480.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2500.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2520.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2540.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2560.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2580.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2600.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2620.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2640.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2660.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2680.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2700.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2720.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2740.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2760.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2780.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2800.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2820.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2840.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2860.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2880.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2900.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2920.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2940.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2960.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       2980.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3000.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3020.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3040.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3060.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3080.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3100.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3120.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3140.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3160.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3180.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3200.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3220.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3240.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3260.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3280.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3300.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3320.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3340.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3360.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3380.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3400.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3420.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3440.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3460.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3480.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3500.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3520.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3540.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3560.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3580.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3600.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3620.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3640.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3660.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3680.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3700.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3720.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3740.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3760.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3780.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3800.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3820.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3840.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3860.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3880.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3900.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3920.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3940.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3960.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       3980.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4000.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4020.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4040.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4060.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4080.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4100.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4120.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4140.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4160.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4180.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4200.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4220.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4240.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4260.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4280.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4300.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4320.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4340.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4360.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4380.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4400.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4420.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4440.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4460.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4480.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4500.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4520.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4540.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4560.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4580.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4600.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4620.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4640.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4660.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4680.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4700.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4720.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4740.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4760.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4780.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4800.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4820.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4840.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4860.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4880.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4900.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4920.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4940.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4960.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       4980.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5000.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5020.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5040.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
