================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   v   r   c   t   s   r 
 in 1e-09 sec | l   g   s   n   i   t   e 
              | k   a   t   t   m   a   a 
              |     _       _   e   r   d 
              |     c       r       t   y 
              |     l       s             
              |     k       t             
================================================================================
      13448.0 | 1   1   0   0   1   0   0
      13530.0 | 0   1   0   0   1   0   0
      13600.0 | 0   0   0   0   1   0   0
      13612.0 | 1   0   0   0   1   0   0
      13694.0 | 0   0   0   0   1   0   0
      13776.0 | 1   0   0   0   1   0   0
      13858.0 | 0   0   0   0   1   0   0
      13940.0 | 1   0   0   0   1   0   0
      14022.0 | 0   0   0   0   1   0   0
      14104.0 | 1   0   0   0   1   0   0
      14186.0 | 0   0   0   0   1   0   0
      14268.0 | 1   0   0   0   1   0   0
      14350.0 | 0   0   0   0   1   0   0
      14400.0 | 0   1   0   0   1   0   0
      14432.0 | 1   1   0   0   1   0   0
      14514.0 | 0   1   0   0   1   0   0
      14596.0 | 1   1   0   0   1   0   0
      14678.0 | 0   1   0   0   1   0   0
      14760.0 | 1   1   0   0   1   0   0
      14842.0 | 0   1   0   0   1   0   0
      14924.0 | 1   1   0   0   1   0   0
      15006.0 | 0   1   0   0   1   0   0
      15088.0 | 1   1   0   0   1   0   0
      15170.0 | 0   1   0   0   1   0   0
      15200.0 | 0   0   0   0   1   0   0
      15252.0 | 1   0   0   0   1   0   0
      15334.0 | 0   0   0   0   1   0   0
      15416.0 | 1   0   0   0   1   0   0
      15498.0 | 0   0   0   0   1   0   0
      15580.0 | 1   0   0   0   1   0   0
      15662.0 | 0   0   0   0   1   0   0
      15744.0 | 1   0   0   0   1   0   0
      15826.0 | 0   0   0   0   1   0   0
      15908.0 | 1   0   0   0   1   0   0
      15990.0 | 0   0   0   0   1   0   0
      16000.0 | 0   1   0   0   1   0   0
      16072.0 | 1   1   0   0   1   0   0
      16154.0 | 0   1   0   0   1   0   0
      16236.0 | 1   1   0   0   1   0   0
      16318.0 | 0   1   0   0   1   0   0
      16400.0 | 1   1   0   0   1   0   0
      16482.0 | 0   1   0   0   1   0   0
      16564.0 | 1   1   0   0   1   0   0
      16646.0 | 0   1   0   0   1   0   0
      16728.0 | 1   1   0   0   1   0   0
      16800.0 | 1   0   0   0   1   0   0
      16810.0 | 0   0   0   0   1   0   0
      16892.0 | 1   0   0   0   1   0   0
      16974.0 | 0   0   0   0   1   0   0
      17056.0 | 1   0   0   0   1   0   0
      17138.0 | 0   0   0   0   1   0   0
      17220.0 | 1   0   0   0   1   0   0
      17302.0 | 0   0   0   0   1   0   0
      17384.0 | 1   0   0   0   1   0   0
      17466.0 | 0   0   0   0   1   0   0
      17548.0 | 1   0   0   0   1   0   0
      17600.0 | 1   1   0   0   1   0   0
      17630.0 | 0   1   0   0   1   0   0
      17712.0 | 1   1   0   0   1   0   0
      17794.0 | 0   1   0   0   1   0   0
      17876.0 | 1   1   0   0   1   0   0
      17958.0 | 0   1   0   0   1   0   0
      18040.0 | 1   1   0   0   1   0   0
      18122.0 | 0   1   0   0   1   0   0
      18204.0 | 1   1   0   0   1   0   0
      18286.0 | 0   1   0   0   1   0   0
      18368.0 | 1   1   0   0   1   0   0
      18400.0 | 1   0   0   0   1   0   0
      18450.0 | 0   0   0   0   1   0   0
      18532.0 | 1   0   0   0   1   0   0
      18614.0 | 0   0   0   0   1   0   0
      18696.0 | 1   0   0   0   1   0   0
      18778.0 | 0   0   0   0   1   0   0
      18860.0 | 1   0   0   0   1   0   0
      18942.0 | 0   0   0   0   1   0   0
      19024.0 | 1   0   0   0   1   0   0
      19106.0 | 0   0   0   0   1   0   0
      19188.0 | 1   0   0   0   1   0   0
      19200.0 | 1   1   0   0   1   0   0
      19270.0 | 0   1   0   0   1   0   0
      19352.0 | 1   1   0   0   1   0   0
      19434.0 | 0   1   0   0   1   0   0
      19516.0 | 1   1   0   0   1   0   0
      19598.0 | 0   1   0   0   1   0   0
      19680.0 | 1   1   0   0   1   0   0
      19762.0 | 0   1   0   0   1   0   0
      19844.0 | 1   1   0   0   1   0   0
      19926.0 | 0   1   0   0   1   0   0
      20000.0 | 0   0   0   0   1   0   0
      20008.0 | 1   0   0   0   1   0   0
      20090.0 | 0   0   0   0   1   0   0
      20172.0 | 1   0   0   0   1   0   0
      20254.0 | 0   0   0   0   1   0   0
      20336.0 | 1   0   0   0   1   0   0
      20418.0 | 0   0   0   0   1   0   0
      20500.0 | 1   0   0   0   1   0   0
      20582.0 | 0   0   0   0   1   0   0
      20664.0 | 1   0   0   0   1   0   0
      20746.0 | 0   0   0   0   1   0   0
      20800.0 | 0   1   0   0   1   0   0
      20828.0 | 1   1   0   0   1   0   0
      20910.0 | 0   1   0   0   1   0   0
