================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   s   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   c   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   o   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   r   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   e   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   _   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   o   d   d   d   d   d   d   d   d       t   t 
              |         n   u   u   r   r   r   r   r   r   r   r       a   a 
              |             t   t   _   _   _   _   _   _   _   _       _   _ 
              |                     o   o   o   o   o   o   o   o       i   o 
              |                     u   u   u   u   u   u   u   u       n   u 
              |                     t   t   t   t   t   t   t   t           t 
              |                     _   _   _   _   _   _   _   _             
       4510.0 | 0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       4592.0 | 1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       4593.4 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       4593.9 | 1   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       4594.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   1   0
       4594.2 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   1   0
       4674.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   1   0
       4756.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   1   0
       4761.0 | 1   0   0   0   0   0   1   1   1   1   0   1   1   0   1   0
       4838.0 | 0   0   0   0   0   0   1   1   1   1   0   1   1   0   1   0
       4920.0 | 1   0   0   0   0   0   1   1   1   1   0   1   1   0   1   0
       4922.9 | 1   0   0   0   0   0   1   1   1   1   0   1   1   1   1   0
       4923.9 | 1   0   0   0   0   0   1   1   0   0   0   1   1   1   1   0
       4924.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   1   1   0
       5002.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   1   1   0
       5084.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   1   1   0
       5085.4 | 1   0   0   0   0   0   0   0   0   0   0   1   0   1   1   0
       5086.0 | 1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0
       5166.0 | 0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0
       5248.0 | 1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0
       5253.0 | 1   0   0   0   0   0   1   1   1   1   0   1   0   0   1   0
       5330.0 | 0   0   0   0   0   0   1   1   1   1   0   1   0   0   1   0
       5412.0 | 1   0   0   0   0   0   1   1   1   1   0   1   0   0   1   0
       5414.9 | 1   0   0   0   0   0   1   1   1   1   0   1   0   1   1   0
       5415.9 | 1   0   0   0   0   0   1   1   0   0   0   1   0   1   1   0
       5416.0 | 1   0   0   0   0   0   0   0   0   0   0   1   0   1   1   0
       5494.0 | 0   0   0   0   0   0   0   0   0   0   0   1   0   1   1   0
       5576.0 | 1   0   0   0   0   0   0   0   0   0   0   1   0   1   1   0
       5577.6 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       5577.9 | 1   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       5578.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   1   0
       5658.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   1   0
       5740.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   1   0
       5745.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   0   1   0
       5822.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   0   1   0
       5904.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   0   1   0
       5906.9 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0
       5907.9 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   0
       5908.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       5986.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       6068.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       6069.4 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       6070.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6150.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6232.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6237.0 | 1   0   0   0   0   0   1   1   1   1   0   0   0   0   1   0
       6314.0 | 0   0   0   0   0   0   1   1   1   1   0   0   0   0   1   0
       6396.0 | 1   0   0   0   0   0   1   1   1   1   0   0   0   0   1   0
       6398.9 | 1   0   0   0   0   0   1   1   1   1   0   0   0   1   1   0
       6399.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   1   1   0
       6400.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       6478.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       6560.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       6561.8 | 1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       6561.9 | 1   0   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       6562.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   1   0
       6562.2 | 1   0   0   0   0   0   0   0   1   0   1   1   1   0   1   0
       6562.3 | 1   0   0   0   0   0   1   0   1   0   1   1   1   0   1   0
       6562.4 | 1   0   0   0   0   0   1   1   1   0   1   1   1   0   1   0
       6562.7 | 1   0   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       6642.0 | 0   0   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       6724.0 | 1   0   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       6806.0 | 0   0   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       6888.0 | 1   0   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       6890.9 | 1   0   0   0   1   0   1   1   1   1   1   1   1   1   1   0
       6891.2 | 1   0   0   0   1   0   1   1   1   1   1   1   1   1   1   1
       6893.4 | 1   0   0   0   1   0   1   1   1   1   1   1   1   0   1   1
       6893.5 | 1   0   0   0   1   0   1   1   1   1   1   1   1   0   1   0
       6893.6 | 1   0   0   0   1   0   0   0   0   1   0   0   0   0   1   0
       6970.0 | 0   0   0   0   1   0   0   0   0   1   0   0   0   0   1   0
       7052.0 | 1   0   0   0   1   0   0   0   0   1   0   0   0   0   0   0
       7053.6 | 1   0   0   1   0   0   0   0   0   1   0   0   0   0   0   0
       7055.1 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7134.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7216.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7298.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7380.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7462.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7544.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7546.2 | 1   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7626.0 | 0   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7708.0 | 1   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7709.6 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7710.1 | 1   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7790.0 | 0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7872.0 | 1   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7874.2 | 1   0   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       7954.0 | 0   0   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       8036.0 | 1   0   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       8037.5 | 1   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       8037.6 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       8038.3 | 1   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0
       8118.0 | 0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0
       8200.0 | 1   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0
       8202.2 | 1   0   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       8282.0 | 0   0   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       8364.0 | 1   0   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       8365.6 | 1   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0
       8366.1 | 1   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0
       8446.0 | 0   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0
       8528.0 | 1   0   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       8530.2 | 1   0   0   0   0   0   0   0   0   1   1   1   1   0   1   0
       8610.0 | 0   0   0   0   0   0   0   0   0   1   1   1   1   0   1   0
       8692.0 | 1   0   0   0   0   0   0   0   0   1   1   1   1   0   0   0
       8693.5 | 1   0   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       8693.6 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
