================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | r   c   d   d   d   d   d   d   v   v   v   v   v   v 
 in 1e-09 sec | s   l   b   b   b   b   b   b   g   g   g   g   g   g 
              | t   k   g   g   g   g   g   g   a   a   a   a   a   a 
              |         _   _   _   _   _   _   _   _   _   _   _   _ 
              |         i   i   i   i   i   i   h   v   c   r   g   b 
              |         n   n   n   n   n   n   s   s   l             
              |         p   p   p   p   p   p   y   y   k             
              |         u   u   u   u   u   u   n   n                 
              |         t   t   t   t   t   t   c   c                 
              |         s   s   s   s   s   s                         
              |         _   _   _   _   _   _                         
              |         5   5   5   5   5   5                         
              |         _   _   _   _   _   _                         
              |         0   0   0   0   0   0                         
              |         _   _   _   _   _   _                         
              |         5   4   3   2   1   0                         
================================================================================
       7360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       7440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       7520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       7600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       7680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       7760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       7840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       7920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       8080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       8240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       8400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       8560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       8720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       8880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       8960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       9040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       9120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       9200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       9280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       9360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       9440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
       9520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
       9600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
