================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   b   n   o   o   o 
 in 1e-09 sec | l   s   u   e   u   u   u 
              | k   t   t   w   t   t   t 
              |         t   _   p   p   p 
              |         o   n   u   u   u 
              |         n   u   t   t   t 
              |         _   m   _   _   _ 
              |         s   b   2   2   2 
              |         e   e   _   _   _ 
              |         e   r   0   0   0 
              |         d       _   _   _ 
              |                 2   1   0 
================================================================================
      10086.0 | 0   0   0   0   1   1   0
      10168.0 | 1   0   0   0   1   1   0
      10168.8 | 1   0   0   0   0   1   0
      10169.1 | 1   0   0   0   0   1   1
      10250.0 | 0   0   0   0   0   1   1
      10332.0 | 1   0   0   0   0   1   1
      10333.0 | 1   0   0   0   0   0   1
      10333.1 | 1   0   0   0   1   0   1
      10414.0 | 0   0   0   0   1   0   1
      10496.0 | 1   0   0   0   1   0   1
      10496.8 | 1   0   0   0   0   0   0
      10497.4 | 1   0   0   0   0   1   0
      10578.0 | 0   0   0   0   0   1   0
      10660.0 | 1   0   0   0   0   1   0
      10661.0 | 1   0   0   0   0   0   0
      10661.1 | 1   0   0   0   0   0   1
      10742.0 | 0   0   0   0   0   0   1
      10824.0 | 1   0   0   0   0   0   1
      10824.8 | 1   0   0   0   0   0   0
      10906.0 | 0   0   0   0   0   0   0
      10988.0 | 1   0   0   0   0   0   0
      10989.1 | 1   0   0   0   1   0   0
      11070.0 | 0   0   0   0   1   0   0
      11152.0 | 1   0   0   0   1   0   0
      11153.4 | 1   0   0   0   1   1   0
      11234.0 | 0   0   0   0   1   1   0
      11316.0 | 1   0   0   0   1   1   0
      11316.8 | 1   0   0   0   0   1   0
      11317.1 | 1   0   0   0   0   1   1
      11398.0 | 0   0   0   0   0   1   1
      11480.0 | 1   0   0   0   0   1   1
      11481.0 | 1   0   0   0   0   0   1
      11481.1 | 1   0   0   0   1   0   1
      11562.0 | 0   0   0   0   1   0   1
      11644.0 | 1   0   0   0   1   0   1
      11644.8 | 1   0   0   0   0   0   0
      11645.4 | 1   0   0   0   0   1   0
      11726.0 | 0   0   0   0   0   1   0
      11808.0 | 1   0   0   0   0   1   0
      11809.0 | 1   0   0   0   0   0   0
      11809.1 | 1   0   0   0   0   0   1
      11890.0 | 0   0   0   0   0   0   1
      11972.0 | 1   0   0   0   0   0   1
      11972.8 | 1   0   0   0   0   0   0
      12054.0 | 0   0   0   0   0   0   0
      12136.0 | 1   0   0   0   0   0   0
      12137.1 | 1   0   0   0   1   0   0
      12218.0 | 0   0   0   0   1   0   0
      12300.0 | 1   0   0   0   1   0   0
      12301.4 | 1   0   0   0   1   1   0
      12382.0 | 0   0   0   0   1   1   0
      12464.0 | 1   0   0   0   1   1   0
      12464.8 | 1   0   0   0   0   1   0
      12465.1 | 1   0   0   0   0   1   1
      12546.0 | 0   0   0   0   0   1   1
      12628.0 | 1   0   0   0   0   1   1
      12629.0 | 1   0   0   0   0   0   1
      12629.1 | 1   0   0   0   1   0   1
      12710.0 | 0   0   0   0   1   0   1
      12792.0 | 1   0   0   0   1   0   1
      12792.8 | 1   0   0   0   0   0   0
      12793.4 | 1   0   0   0   0   1   0
      12874.0 | 0   0   0   0   0   1   0
      12956.0 | 1   0   0   0   0   1   0
      12957.0 | 1   0   0   0   0   0   0
