====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d       t   t 
              |         n   u   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r       a   a 
              |             t   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _       _   _ 
              |                 i   i   i   i   i   i   i   o   o   o   o   o   o   o   o       i   o 
              |                 n   n   n   n   n   n   n   u   u   u   u   u   u   u   u       n   u 
              |                 _   _   _   _   _   _   _   t   t   t   t   t   t   t   t           t 
       1641.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
       1644.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       1645.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0
       1722.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0
       1804.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       1806.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   1   0   0
       1807.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   0   0
       1807.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   0   0
       1886.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   0   0
       1968.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   1   0
       1968.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   1   1   1
       1969.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   1
       1969.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   0
       1969.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
       2050.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
       2132.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
       2133.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
       2133.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0   1   0
       2136.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
       2137.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   1   0
       2214.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   1   0
       2296.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0
       2298.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   1   0   0
       2299.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   0   0
       2299.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   0   0
       2378.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   0   0
       2460.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   0
       2460.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   1   1   1
       2461.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   1   1
       2461.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   1   1
       2461.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   1   0
       2461.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       2462.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   1   0
       2542.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   1   0
       2624.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   1   0
       2625.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   1   0
       2625.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   1   0
       2628.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
       2629.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   1   0
       2706.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   1   0
       2788.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       2790.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   1   0   0
       2791.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   0   0
       2791.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0
       2870.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0
       2952.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   1   1   0
       2952.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   1   1   1   1
       2953.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   1   1
       2953.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   1   0
       2953.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       3034.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       3116.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       3117.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       3117.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0   1   0
       3120.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
       3121.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   1   0
       3198.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   1   0
       3280.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       3282.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   1   0   0
       3283.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   0   0
       3283.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   0
       3362.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   0
       3444.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   1   0
       3444.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   1   1
       3445.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   1   1
       3445.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   1   1
       3445.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   1   0
       3445.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       3526.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       3608.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       3609.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       3609.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   0   1   0
       3612.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
       3613.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0
       3690.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0
       3772.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       3774.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0
       3775.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0
       3775.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0
       3854.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0
       3936.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   1   0
       3936.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   1   1   1   1
       3937.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   1   1
       3937.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   1   0
       3937.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       4018.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       4100.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       4101.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       4101.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0
       4104.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4105.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   1   0
       4182.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   1   0
       4264.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       4266.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0
       4267.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0
       4267.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   0   0
       4346.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   0   0
       4428.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   1   0
       4428.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   1   1   1
       4429.4 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   1
       4429.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   1   1
       4429.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       4429.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       4430.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   1   0
       4430.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   1   0
       4510.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   1   0
       4592.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
       4593.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
       4593.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0
       4596.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   0   0
       4674.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   0   0
       4756.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   1   0
       4758.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   0
       4759.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1
       4759.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
       4838.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
       4920.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   1   0   1
       4920.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   1   1   0   0
       4921.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   0   0
       4921.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0
       5002.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0
       5084.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       5085.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       5085.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   1   0
       5088.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       5166.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       5248.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       5250.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       5251.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   1   1
       5251.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   1
       5330.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   1
       5412.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   1   1   1
       5413.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   1   1   1
       5413.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   1   1   1
       5413.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   1   1   0
       5413.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0
       5494.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0
       5576.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       5577.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       5577.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   0   0
       5580.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   0   0
