====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   m   m   r   e   s   l   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   a   a   e   m   t   u   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   s   s   a   p   a   t   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   k   k   d   t   r   _   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   _   y   y   t   s   r   e   e   _   _   _   _   _   _   _   _   _ 
              |         7   7   7   7   7   7   7   7   s   s               t   e   r       7   7   7   7   7   7   7   7   i 
              |         _   _   _   _   _   _   _   _   e   e               a   a   r       _   _   _   _   _   _   _   _   n 
              |         0   0   0   0   0   0   0   0   l   l               r   d   o       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   e   e               t   y   r       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   c   c                               7   6   5   4   3   2   1   0     
              |                                         t   t                                                                 
              |                                         _   _                                                                 
              |                                         1   1                                                                 
              |                                         _   _                                                                 
              |                                         0   0                                                                 
              |                                         _   _                                                                 
              |                                         1   0                                                                 
====================================================================================================================================
        741.5 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   1   1   0   0   0   1   1   0   1   1   0   0   0
        741.9 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   0   1   0   0   0   1   1   0   1   1   0   0   0
        750.0 | 0   0   0   1   1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        760.0 | 1   0   0   1   1   0   1   1   0   0   0   1   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        761.7 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
        762.2 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        770.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        780.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        790.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        800.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        810.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        820.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        830.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        840.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        850.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        860.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        870.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        880.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        890.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        900.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        910.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        920.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        930.0 | 0   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        940.0 | 1   0   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        950.0 | 0   1   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        960.0 | 1   1   0   1   1   0   1   1   0   0   1   0   0   0   1   1   0   0   0   0   1   1   0   1   1   0   0   0
        962.1 | 1   1   0   1   1   0   1   1   0   0   1   0   0   0   1   0   0   0   0   0   1   1   0   1   1   0   0   0
