====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
 in 1e-09 sec | s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s   s 
              | _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              | c   r   d   r   i   i   i   i   i   i   i   i   w   a   a   a   a   a   a   a   a   d 
              | l   s   r   e   n   n   n   n   n   n   n   n   r   d   d   d   d   d   d   d   d   a 
              | k   t   a   a   p   p   p   p   p   p   p   p   i   d   d   d   d   d   d   d   d   t 
              |         w   d   u   u   u   u   u   u   u   u   t   r   r   r   r   r   r   r   r   a 
              |             y   t   t   t   t   t   t   t   t   e   _   _   _   _   _   _   _   _   _ 
              |                 _   _   _   _   _   _   _   _       7   7   7   7   7   7   7   7   o 
              |                 7   7   7   7   7   7   7   7       _   _   _   _   _   _   _   _   u 
              |                 _   _   _   _   _   _   _   _       0   0   0   0   0   0   0   0   t 
              |                 0   0   0   0   0   0   0   0       _   _   _   _   _   _   _   _     
              |                 _   _   _   _   _   _   _   _       7   6   5   4   3   2   1   0     
              |                 7   6   5   4   3   2   1   0                                         
====================================================================================================================================
       2706.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       2788.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       2870.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       2952.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3034.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3116.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3198.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3280.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3362.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3444.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3526.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3608.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3690.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3772.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3854.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       3936.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4018.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4100.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4182.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4264.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4346.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4428.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4510.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4592.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4674.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4756.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4838.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       4920.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5002.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5084.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5166.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5248.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5330.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5412.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5494.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5576.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5658.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5740.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5822.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5904.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       5986.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6068.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6150.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6232.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6314.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6396.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6478.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6560.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6642.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6724.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6806.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6888.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       6970.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7052.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7134.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7216.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7298.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7380.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7462.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7544.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7626.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7708.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7790.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7872.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       7954.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8036.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8118.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8200.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8282.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8364.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8446.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8528.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8610.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8692.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8774.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8856.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       8938.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9020.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9102.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9184.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9266.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9348.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9430.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9512.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9594.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9676.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9758.0 | 1   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9840.0 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
       9921.9 | 0   0   1   1   1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1
====================================================================================================================================
  network : Draw_score                                                                                                 nodes : 236  
====================================================================================================================================
