================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | a   a   a   a   a   a   a   d   d   d   d 
 in 1e-09 sec | d   d   d   d   d   d   d   a   a   a   a 
              | d   d   d   d   d   d   d   t   t   t   t 
              | r   r   r   r   r   r   r   a   a   a   a 
              | _   _   _   _   _   _   _   _   _   _   _ 
       7302.2 | 1   0   0   1   0   0   1   0   0   0   1
       7400.0 | 1   0   0   1   0   1   0   0   0   0   1
       7402.0 | 1   0   0   1   0   1   0   0   0   1   1
       7403.3 | 1   0   0   1   0   1   0   0   0   1   0
       7500.0 | 1   0   0   1   0   1   1   0   0   1   0
       7502.0 | 1   0   0   1   0   1   1   0   1   1   0
       7600.0 | 1   0   0   1   1   0   0   0   1   1   0
       7601.5 | 1   0   0   1   1   0   0   1   1   1   0
       7602.2 | 1   0   0   1   1   0   0   1   1   0   0
       7602.3 | 1   0   0   1   1   0   0   1   0   0   1
       7602.8 | 1   0   0   1   1   0   0   0   0   0   1
       7700.0 | 1   0   0   1   1   0   1   0   0   0   1
       7702.1 | 1   0   0   1   1   0   1   0   1   0   1
       7800.0 | 1   0   0   1   1   1   0   0   1   0   1
       7802.5 | 1   0   0   1   1   1   0   1   1   0   1
       7803.2 | 1   0   0   1   1   1   0   1   0   0   1
       7900.0 | 1   0   0   1   1   1   1   1   0   0   1
       7903.5 | 1   0   0   1   1   1   1   1   0   0   0
       8000.0 | 1   0   1   0   0   0   0   1   0   0   0
       8000.8 | 1   0   1   0   0   0   0   1   0   0   1
       8001.6 | 1   0   1   0   0   0   0   1   1   0   1
       8002.1 | 1   0   1   0   0   0   0   0   1   0   1
       8002.5 | 1   0   1   0   0   0   0   0   0   0   1
       8100.0 | 1   0   1   0   0   0   1   0   0   0   1
       8102.0 | 1   0   1   0   0   0   1   0   0   1   1
       8103.3 | 1   0   1   0   0   0   1   0   0   1   0
       8200.0 | 1   0   1   0   0   1   0   0   0   1   0
       8202.0 | 1   0   1   0   0   1   0   0   1   1   0
       8203.1 | 1   0   1   0   0   1   0   0   1   0   0
       8300.0 | 1   0   1   0   0   1   1   0   1   0   0
       8302.2 | 1   0   1   0   0   1   1   0   1   0   1
       8400.0 | 1   0   1   0   1   0   0   0   1   0   1
       8401.5 | 1   0   1   0   1   0   0   1   1   0   1
       8402.1 | 1   0   1   0   1   0   0   0   1   0   1
       8402.2 | 1   0   1   0   1   0   0   0   0   0   1
       8403.2 | 1   0   1   0   1   0   0   0   0   0   0
       8500.0 | 1   0   1   0   1   0   1   0   0   0   0
       8502.2 | 1   0   1   0   1   0   1   0   1   0   0
       8600.0 | 1   0   1   0   1   1   0   0   1   0   0
       8602.4 | 1   0   1   0   1   1   0   0   1   0   1
       8700.0 | 1   0   1   0   1   1   1   0   1   0   1
       8702.2 | 1   0   1   0   1   1   1   1   1   0   1
       8703.3 | 1   0   1   0   1   1   1   1   0   0   1
       8800.0 | 1   0   1   1   0   0   0   1   0   0   1
       8801.4 | 1   0   1   1   0   0   0   1   1   0   1
       8802.1 | 1   0   1   1   0   0   0   0   1   0   1
       8803.3 | 1   0   1   1   0   0   0   0   0   0   1
       8900.0 | 1   0   1   1   0   0   1   0   0   0   1
       8902.0 | 1   0   1   1   0   0   1   0   0   1   1
       8903.3 | 1   0   1   1   0   0   1   0   0   1   0
       9000.0 | 1   0   1   1   0   1   0   0   0   1   0
       9002.0 | 1   0   1   1   0   1   0   0   1   1   0
       9003.1 | 1   0   1   1   0   1   0   0   1   0   0
       9100.0 | 1   0   1   1   0   1   1   0   1   0   0
       9102.2 | 1   0   1   1   0   1   1   0   1   0   1
       9200.0 | 1   0   1   1   1   0   0   0   1   0   1
       9201.5 | 1   0   1   1   1   0   0   1   1   0   1
       9202.1 | 1   0   1   1   1   0   0   0   1   0   1
       9202.2 | 1   0   1   1   1   0   0   0   0   0   1
       9203.2 | 1   0   1   1   1   0   0   0   0   0   0
       9300.0 | 1   0   1   1   1   0   1   0   0   0   0
       9302.2 | 1   0   1   1   1   0   1   0   1   0   0
       9400.0 | 1   0   1   1   1   1   0   0   1   0   0
       9402.4 | 1   0   1   1   1   1   0   0   1   0   1
       9500.0 | 1   0   1   1   1   1   1   0   1   0   1
       9502.2 | 1   0   1   1   1   1   1   1   1   0   1
       9503.3 | 1   0   1   1   1   1   1   1   0   0   1
       9600.0 | 1   1   0   0   0   0   0   1   0   0   1
       9600.7 | 1   1   0   0   0   0   0   1   1   0   1
       9601.4 | 1   1   0   0   0   0   0   0   1   0   1
