================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
     516800.0 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     516960.0 | 0   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     517120.0 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     517123.4 | 1   0   1   1   0   0   0   0   1   0   0   1   0   0   0   0
     517123.8 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
     517124.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     517124.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     517125.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     517125.7 | 1   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0
     517126.0 | 1   0   1   1   1   0   1   0   0   0   0   1   0   1   0   0
     517280.0 | 0   0   1   1   1   0   1   0   0   0   0   1   0   1   0   0
     517440.0 | 1   0   1   1   1   0   1   0   0   0   0   1   0   1   0   0
     517443.3 | 1   0   1   1   0   0   1   0   0   0   0   1   0   1   0   0
     517444.2 | 1   0   1   1   0   0   1   0   0   1   0   1   0   1   0   0
     517444.3 | 1   0   1   1   0   0   1   1   0   1   0   1   0   1   0   0
     517444.4 | 1   0   1   1   0   0   1   1   0   1   0   1   0   0   0   0
     517444.5 | 1   0   1   1   0   0   1   1   1   1   0   1   0   0   0   0
     517446.3 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     517600.0 | 0   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     517760.0 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     517762.2 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     517763.4 | 1   0   1   1   0   0   0   0   1   0   0   1   1   0   0   0
     517763.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
     517764.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
     517764.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     517764.9 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
     517765.0 | 1   0   1   1   0   0   0   1   0   1   0   0   0   0   0   0
     517765.2 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     517765.6 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     517765.9 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     517920.0 | 0   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     518080.0 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     518240.0 | 0   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     518400.0 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     518403.4 | 1   0   1   1   0   0   0   0   1   0   0   1   1   0   0   0
     518403.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
     518404.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
     518404.3 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
     518404.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     518405.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     518405.7 | 1   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0
     518406.0 | 1   0   1   1   1   0   1   0   0   0   0   1   0   1   0   0
     518406.3 | 1   0   1   1   1   0   1   0   0   0   0   1   1   1   0   0
     518560.0 | 0   0   1   1   1   0   1   0   0   0   0   1   1   1   0   0
     518720.0 | 1   0   1   1   1   0   1   0   0   0   0   1   1   1   0   0
     518723.3 | 1   0   1   1   0   0   1   0   0   0   0   1   1   1   0   0
     518724.2 | 1   0   1   1   0   0   1   0   0   1   0   1   1   1   0   0
     518724.3 | 1   0   1   1   0   0   1   1   0   1   0   1   1   1   0   0
     518724.4 | 1   0   1   1   0   0   1   1   0   1   0   1   1   0   0   0
     518724.5 | 1   0   1   1   0   0   1   1   1   1   0   1   1   0   0   0
     518726.3 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     518880.0 | 0   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     519040.0 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     519041.6 | 1   0   1   1   0   0   0   1   1   1   0   0   1   0   0   0
     519041.8 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     519042.0 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     519043.4 | 1   0   1   1   0   0   0   0   1   0   1   0   0   0   0   0
     519043.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     519044.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     519044.9 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
     519045.0 | 1   0   1   1   0   0   0   1   0   1   0   0   0   0   0   0
     519045.2 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     519045.9 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     519200.0 | 0   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     519360.0 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     519520.0 | 0   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     519680.0 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     519683.4 | 1   0   1   1   0   0   0   0   1   0   1   0   0   0   0   0
     519683.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     519684.3 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
     519684.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     519685.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     519685.7 | 1   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0
     519686.3 | 1   0   1   1   1   0   1   0   0   0   1   0   0   1   0   0
     519840.0 | 0   0   1   1   1   0   1   0   0   0   1   0   0   1   0   0
     520000.0 | 1   0   1   1   1   0   1   0   0   0   1   0   0   1   0   0
     520003.3 | 1   0   1   1   0   0   1   0   0   0   1   0   0   1   0   0
     520004.2 | 1   0   1   1   0   0   1   0   0   1   1   0   0   1   0   0
     520004.3 | 1   0   1   1   0   0   1   1   0   1   1   0   0   1   0   0
     520004.4 | 1   0   1   1   0   0   1   1   0   1   1   0   0   0   0   0
     520004.5 | 1   0   1   1   0   0   1   1   1   1   1   0   0   0   0   0
     520006.3 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     520160.0 | 0   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     520320.0 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     520322.2 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     520323.4 | 1   0   1   1   0   0   0   0   1   0   1   0   1   0   0   0
     520323.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
     520324.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     520324.9 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
     520325.0 | 1   0   1   1   0   0   0   1   0   1   0   0   0   0   0   0
     520325.2 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     520325.9 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     520480.0 | 0   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     520640.0 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     520800.0 | 0   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     520960.0 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     520963.4 | 1   0   1   1   0   0   0   0   1   0   1   0   1   0   0   0
     520963.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
     520964.3 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
     520964.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     520965.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     520965.7 | 1   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0
     520966.3 | 1   0   1   1   1   0   1   0   0   0   1   0   1   1   0   0
     521120.0 | 0   0   1   1   1   0   1   0   0   0   1   0   1   1   0   0
     521280.0 | 1   0   1   1   1   0   1   0   0   0   1   0   1   1   0   0
     521283.3 | 1   0   1   1   0   0   1   0   0   0   1   0   1   1   0   0
     521284.2 | 1   0   1   1   0   0   1   0   0   1   1   0   1   1   0   0
     521284.3 | 1   0   1   1   0   0   1   1   0   1   1   0   1   1   0   0
     521284.4 | 1   0   1   1   0   0   1   1   0   1   1   0   1   0   0   0
     521284.5 | 1   0   1   1   0   0   1   1   1   1   1   0   1   0   0   0
     521286.3 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     521440.0 | 0   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     521600.0 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     521602.0 | 1   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     521603.4 | 1   0   1   1   0   0   0   0   1   0   1   1   0   0   0   0
     521603.8 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
     521604.1 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     521604.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     521604.9 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
     521605.0 | 1   0   1   1   0   0   0   1   0   1   0   0   0   0   0   0
     521605.2 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     521605.6 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     521605.9 | 1   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     521760.0 | 0   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     521920.0 | 1   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     522080.0 | 0   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     522240.0 | 1   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     522243.4 | 1   0   1   1   0   0   0   0   1   0   1   1   0   0   0   0
     522243.8 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
     522244.1 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     522244.3 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
     522244.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     522245.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     522245.7 | 1   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0
     522246.0 | 1   0   1   1   1   0   1   0   0   0   0   1   0   1   0   0
     522246.3 | 1   0   1   1   1   0   1   0   0   0   1   1   0   1   0   0
     522400.0 | 0   0   1   1   1   0   1   0   0   0   1   1   0   1   0   0
     522560.0 | 1   0   1   1   1   0   1   0   0   0   1   1   0   1   0   0
     522563.3 | 1   0   1   1   0   0   1   0   0   0   1   1   0   1   0   0
     522564.2 | 1   0   1   1   0   0   1   0   0   1   1   1   0   1   0   0
     522564.3 | 1   0   1   1   0   0   1   1   0   1   1   1   0   1   0   0
     522564.4 | 1   0   1   1   0   0   1   1   0   1   1   1   0   0   0   0
     522564.5 | 1   0   1   1   0   0   1   1   1   1   1   1   0   0   0   0
     522566.3 | 1   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     522720.0 | 0   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     522880.0 | 1   0   1   1   0   0   0   1   1   1   1   1   0   0   0   0
     522882.2 | 1   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     522883.4 | 1   0   1   1   0   0   0   0   1   0   1   1   1   0   0   0
     522883.8 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
     522884.1 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
     522884.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     522884.9 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
     522885.0 | 1   0   1   1   0   0   0   1   0   1   0   0   0   0   0   0
     522885.2 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     522885.6 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     522885.9 | 1   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     523040.0 | 0   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     523200.0 | 1   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     523360.0 | 0   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     523520.0 | 1   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     523523.4 | 1   0   1   1   0   0   0   0   1   0   1   1   1   0   0   0
     523523.8 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
     523524.1 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
     523524.3 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
     523524.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     523525.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     523525.7 | 1   0   1   1   1   0   1   0   0   0   0   0   0   1   0   0
     523526.0 | 1   0   1   1   1   0   1   0   0   0   0   1   0   1   0   0
     523526.3 | 1   0   1   1   1   0   1   0   0   0   1   1   1   1   0   0
     523680.0 | 0   0   1   1   1   0   1   0   0   0   1   1   1   1   0   0
     523840.0 | 1   0   1   1   1   0   1   0   0   0   1   1   1   1   0   0
     523842.8 | 1   0   1   1   0   0   1   0   0   0   1   1   1   1   0   0
     523843.5 | 1   0   1   1   0   0   1   0   0   1   1   1   1   1   0   0
     523843.6 | 1   0   1   1   0   0   1   1   0   1   1   1   1   1   0   0
     523843.8 | 1   0   1   1   0   0   1   1   1   1   1   1   1   1   0   0
     523843.9 | 1   0   1   1   0   0   1   1   1   1   1   1   1   0   0   0
     523845.8 | 1   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     524000.0 | 0   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     524160.0 | 1   0   1   1   0   0   0   1   1   1   1   1   1   0   0   0
     524161.6 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     524161.7 | 1   0   1   1   0   0   0   1   1   1   0   0   1   0   0   0
     524162.0 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     524162.8 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     524320.0 | 0   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     524480.0 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     524640.0 | 0   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     524800.0 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     524803.4 | 1   0   1   1   0   0   0   0   1   0   0   0   0   0   0   0
     524803.8 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     524804.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     524805.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     524805.5 | 1   0   1   1   1   0   0   1   0   1   0   0   0   1   0   0
     524805.7 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     524960.0 | 0   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     525120.0 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     525123.3 | 1   0   1   1   0   0   0   1   1   1   0   0   0   1   0   0
     525124.4 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
     525126.1 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     525280.0 | 0   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     525440.0 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     525442.2 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     525443.4 | 1   0   1   1   0   0   0   0   1   0   0   0   1   0   0   0
     525443.8 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
     525444.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     525445.0 | 1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     525445.2 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     525445.9 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     525600.0 | 0   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     525760.0 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     525920.0 | 0   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     526080.0 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     526083.4 | 1   0   1   1   0   0   0   0   1   0   0   0   1   0   0   0
     526083.8 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
     526084.3 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
     526084.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     526085.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     526085.5 | 1   0   1   1   1   0   0   1   0   1   0   0   0   1   0   0
     526085.7 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     526086.3 | 1   0   1   1   1   0   0   1   1   1   0   0   1   1   0   0
     526240.0 | 0   0   1   1   1   0   0   1   1   1   0   0   1   1   0   0
     526400.0 | 1   0   1   1   1   0   0   1   1   1   0   0   1   1   0   0
     526403.3 | 1   0   1   1   0   0   0   1   1   1   0   0   1   1   0   0
     526404.4 | 1   0   1   1   0   0   0   1   1   1   0   0   1   0   0   0
     526406.1 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     526560.0 | 0   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     526720.0 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     526722.0 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     526723.4 | 1   0   1   1   0   0   0   0   1   0   0   1   0   0   0   0
     526723.8 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
     526724.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     526725.0 | 1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     526725.2 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     526725.6 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     526880.0 | 0   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     527040.0 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     527200.0 | 0   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     527360.0 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     527363.4 | 1   0   1   1   0   0   0   0   1   0   0   1   0   0   0   0
     527363.8 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
     527364.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     527364.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     527365.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     527365.5 | 1   0   1   1   1   0   0   1   0   1   0   0   0   1   0   0
     527365.7 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     527366.0 | 1   0   1   1   1   0   0   1   1   1   0   1   0   1   0   0
     527520.0 | 0   0   1   1   1   0   0   1   1   1   0   1   0   1   0   0
     527680.0 | 1   0   1   1   1   0   0   1   1   1   0   1   0   1   0   0
     527683.3 | 1   0   1   1   0   0   0   1   1   1   0   1   0   1   0   0
     527684.4 | 1   0   1   1   0   0   0   1   1   1   0   1   0   0   0   0
     527686.1 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     527840.0 | 0   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     528000.0 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     528002.2 | 1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     528003.4 | 1   0   1   1   0   0   0   0   1   0   0   1   1   0   0   0
     528003.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
     528004.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
     528004.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     528005.0 | 1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     528005.2 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     528005.6 | 1   0   1   1   0   0   0   1   1   0   0   1   0   0   0   0
     528005.9 | 1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     528160.0 | 0   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     528320.0 | 1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     528480.0 | 0   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     528640.0 | 1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     528643.4 | 1   0   1   1   0   0   0   0   1   0   0   1   1   0   0   0
     528643.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
     528644.1 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
     528644.3 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
     528644.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     528645.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     528645.5 | 1   0   1   1   1   0   0   1   0   1   0   0   0   1   0   0
     528645.7 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     528646.0 | 1   0   1   1   1   0   0   1   1   1   0   1   0   1   0   0
     528646.3 | 1   0   1   1   1   0   0   1   1   1   0   1   1   1   0   0
     528800.0 | 0   0   1   1   1   0   0   1   1   1   0   1   1   1   0   0
     528960.0 | 1   0   1   1   1   0   0   1   1   1   0   1   1   1   0   0
     528963.3 | 1   0   1   1   0   0   0   1   1   1   0   1   1   1   0   0
     528964.4 | 1   0   1   1   0   0   0   1   1   1   0   1   1   0   0   0
     528966.1 | 1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     529120.0 | 0   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     529280.0 | 1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   0
     529281.6 | 1   0   1   1   0   0   0   1   1   0   0   0   1   0   0   0
     529281.8 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     529282.0 | 1   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     529283.4 | 1   0   1   1   0   0   0   0   1   0   1   0   0   0   0   0
     529283.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     529284.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     529285.0 | 1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     529285.2 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     529285.9 | 1   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     529440.0 | 0   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     529600.0 | 1   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     529760.0 | 0   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     529920.0 | 1   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     529923.4 | 1   0   1   1   0   0   0   0   1   0   1   0   0   0   0   0
     529923.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     529924.3 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
     529924.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     529925.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     529925.5 | 1   0   1   1   1   0   0   1   0   1   0   0   0   1   0   0
     529925.7 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     529926.3 | 1   0   1   1   1   0   0   1   1   1   1   0   0   1   0   0
     530080.0 | 0   0   1   1   1   0   0   1   1   1   1   0   0   1   0   0
     530240.0 | 1   0   1   1   1   0   0   1   1   1   1   0   0   1   0   0
     530243.3 | 1   0   1   1   0   0   0   1   1   1   1   0   0   1   0   0
     530244.4 | 1   0   1   1   0   0   0   1   1   1   1   0   0   0   0   0
     530246.1 | 1   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     530400.0 | 0   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     530560.0 | 1   0   1   1   0   0   0   1   1   0   1   0   0   0   0   0
     530562.2 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     530563.4 | 1   0   1   1   0   0   0   0   1   0   1   0   1   0   0   0
     530563.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
     530564.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
     530565.0 | 1   0   1   1   0   0   0   1   0   0   0   0   0   0   0   0
     530565.2 | 1   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0
     530565.9 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     530720.0 | 0   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     530880.0 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     531040.0 | 0   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     531200.0 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     531203.4 | 1   0   1   1   0   0   0   0   1   0   1   0   1   0   0   0
     531203.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
     531204.3 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
     531204.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
     531205.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
     531205.5 | 1   0   1   1   1   0   0   1   0   1   0   0   0   1   0   0
     531205.7 | 1   0   1   1   1   0   0   1   1   1   0   0   0   1   0   0
     531206.3 | 1   0   1   1   1   0   0   1   1   1   1   0   1   1   0   0
     531360.0 | 0   0   1   1   1   0   0   1   1   1   1   0   1   1   0   0
     531520.0 | 1   0   1   1   1   0   0   1   1   1   1   0   1   1   0   0
     531523.3 | 1   0   1   1   0   0   0   1   1   1   1   0   1   1   0   0
     531524.4 | 1   0   1   1   0   0   0   1   1   1   1   0   1   0   0   0
     531526.1 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     531680.0 | 0   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     531840.0 | 1   0   1   1   0   0   0   1   1   0   1   0   1   0   0   0
     531842.0 | 1   0   1   1   0   0   0   1   1   0   1   1   0   0   0   0
     531843.4 | 1   0   1   1   0   0   0   0   1   0   1   1   0   0   0   0
     531843.8 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
     531844.1 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
     531844.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
