================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
      14080.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      14085.8 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14240.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14400.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14402.4 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14560.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14720.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14880.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15040.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15200.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15360.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15362.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15520.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15680.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15840.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16000.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16160.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16320.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16322.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      16480.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      16640.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      16800.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      16960.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      17120.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      17280.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      17282.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      17440.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      17600.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      17760.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      17920.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      18080.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      18240.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      18242.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      18400.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      18560.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      18720.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      18880.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      19040.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      19200.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      19202.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      19360.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      19520.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      19680.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      19840.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      20000.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      20160.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      20162.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      20320.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      20480.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      20640.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      20800.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      20960.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      21120.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
